model,sample_id,source_filename,wt_evanyseg_predicted_dice,condition_adherence_dice,predicted_tumour_voxels_lowres,predicted_tumour_fraction_lowres,mean_probability_inside_prediction,empty_prediction
ddpm_v5,0055,ddpm_v5_0055.nii.gz,0.85595703125,,6741,0.0072340745192307696,0.965860903263092,False
ddpm_v5,0056,ddpm_v5_0056.nii.gz,0.88232421875,,10780,0.011568509615384616,0.9756397604942322,False
ddpm_v5,0057,ddpm_v5_0057.nii.gz,0.744140625,,10473,0.011239053914835165,0.9623229503631592,False
ddpm_v5,0058,ddpm_v5_0058.nii.gz,0.8916015625,,12566,0.013485147664835165,0.9724867343902588,False
ddpm_v5,0059,ddpm_v5_0059.nii.gz,0.89208984375,,14051,0.015078768887362638,0.9714885354042053,False
ddpm_v5,0060,ddpm_v5_0060.nii.gz,0.798828125,,15582,0.016721754807692307,0.9563056230545044,False
ddpm_v5,0061,ddpm_v5_0061.nii.gz,0.81982421875,,12379,0.013284469436813186,0.9636706709861755,False
ddpm_v5,0062,ddpm_v5_0062.nii.gz,0.662109375,,10760,0.011547046703296704,0.9549748301506042,False
ddpm_v5,0063,ddpm_v5_0063.nii.gz,0.72900390625,,16422,0.017623197115384615,0.9413573741912842,False
ddpm_v5,0064,ddpm_v5_0064.nii.gz,0.76513671875,,6629,0.007113882211538461,0.9613444805145264,False
ddpm_v5,0065,ddpm_v5_0065.nii.gz,0.8037109375,,11720,0.012577266483516484,0.9597739577293396,False
ddpm_v5,0066,ddpm_v5_0066.nii.gz,0.85791015625,,10436,0.011199347527472528,0.9648757576942444,False
ddpm_v5,0067,ddpm_v5_0067.nii.gz,0.7978515625,,19217,0.02062263907967033,0.9658017754554749,False
ddpm_v5,0068,ddpm_v5_0068.nii.gz,0.8779296875,,7904,0.008482142857142856,0.9604400396347046,False
ddpm_v5,0069,ddpm_v5_0069.nii.gz,0.68408203125,,6604,0.007087053571428571,0.9670077562332153,False
ddpm_v5,0070,ddpm_v5_0070.nii.gz,0.75146484375,,13954,0.014974673763736264,0.9570071697235107,False
