dataset,filename,valid_shape,all_finite,within_0_1,min,max,mean,std
real,real_0172.nii.gz,True,True,True,0.0,1.0,0.059149179607629776,0.13337424397468567
real,real_0173.nii.gz,True,True,True,0.0,1.0,0.0710579976439476,0.1537972241640091
real,real_0174.nii.gz,True,True,True,0.0,1.0,0.0749518945813179,0.16994386911392212
real,real_0175.nii.gz,True,True,True,0.0,1.0,0.09920178353786469,0.19774554669857025
real,real_0176.nii.gz,True,True,True,0.0,1.0,0.060892947018146515,0.1331569105386734
real,real_0177.nii.gz,True,True,True,0.0,1.0,0.09063663333654404,0.20579595863819122
real,real_0178.nii.gz,True,True,True,0.0,1.0,0.08078894764184952,0.17215292155742645
real,real_0179.nii.gz,True,True,True,0.0,1.0,0.05906723812222481,0.13622671365737915
real,real_0180.nii.gz,True,True,True,0.0,1.0,0.0950588658452034,0.20525690913200378
real,real_0181.nii.gz,True,True,True,0.0,1.0,0.09813175350427628,0.2178085595369339
real,real_0182.nii.gz,True,True,True,0.0,1.0,0.06001994013786316,0.1456708163022995
real,real_0183.nii.gz,True,True,True,0.0,1.0,0.06012776494026184,0.13270598649978638
real,real_0184.nii.gz,True,True,True,0.0,1.0,0.08082248270511627,0.18499213457107544
real,real_0185.nii.gz,True,True,True,0.0,1.0,0.06274884194135666,0.14167867600917816
real,real_0186.nii.gz,True,True,True,0.0,1.0,0.0749865472316742,0.1590612232685089
real,real_0187.nii.gz,True,True,True,0.0,1.0,0.07938450574874878,0.17203544080257416
real,real_0188.nii.gz,True,True,True,0.0,1.0,0.06725423038005829,0.14797675609588623
real,real_0189.nii.gz,True,True,True,0.0,1.0,0.10792747884988785,0.2118820995092392
real,real_0190.nii.gz,True,True,True,0.0,1.0,0.08149798959493637,0.18500562012195587
real,real_0191.nii.gz,True,True,True,0.0,1.0,0.059701576828956604,0.13975059986114502
real,real_0192.nii.gz,True,True,True,0.0,1.0,0.09831851720809937,0.20174691081047058
real,real_0193.nii.gz,True,True,True,0.0,1.0,0.05600322410464287,0.1215447410941124
real,real_0194.nii.gz,True,True,True,0.0,1.0,0.05754781514406204,0.13098955154418945
real,real_0195.nii.gz,True,True,True,0.0,1.0,0.05387391149997711,0.11809314787387848
real,real_0196.nii.gz,True,True,True,0.0,1.0,0.10380157083272934,0.22262611985206604
real,real_0197.nii.gz,True,True,True,0.0,1.0,0.06540346145629883,0.14389464259147644
real,real_0198.nii.gz,True,True,True,0.0,1.0,0.09555095434188843,0.19654054939746857
real,real_0199.nii.gz,True,True,True,0.0,1.0,0.09601283073425293,0.201654314994812
ddpm_v5,ddpm_v5_0000.nii.gz,True,True,True,0.0,1.0,0.10535803437232971,0.1838265359401703
ddpm_v5,ddpm_v5_0001.nii.gz,True,True,True,0.0,1.0,0.09826705604791641,0.1665419638156891
ddpm_v5,ddpm_v5_0002.nii.gz,True,True,True,0.0,1.0,0.10263282060623169,0.17544333636760712
